Acfissa	AnidsolfT	PH	Solfiti	Alcohol	Grad
6.6	29.0	3.42	0.62	11.70	2.00
5.7	19.0	3.50	0.48	9.80	1.00
7.9	30.0	3.29	0.69	11.20	2.00
6.1	30.0	3.45	0.54	11.20	2.00
6.2	32.0	3.54	0.60	11.30	1.00
6.2	32.0	3.54	0.60	11.30	1.00
5.4	26.0	3.67	0.56	11.60	2.00
8.2	74.0	3.23	0.81	12.00	2.00
8.3	12.0	3.26	0.62	12.40	2.00
8.3	12.0	3.26	0.62	12.40	2.00
7.9	20.0	3.28	0.70	11.10	1.00
9.0	40.0	3.22	0.60	12.20	2.00
7.2	102.0	3.27	0.78	12.80	2.00
7.0	29.0	3.28	0.49	11.30	2.00
7.8	45.0	3.46	0.74	12.70	2.00
8.2	10.0	3.28	0.57	11.80	2.00
7.3	70.0	3.34	0.82	12.90	2.00
7.9	10.0	3.27	0.54	11.20	2.00
7.4	24.0	3.24	0.70	11.40	2.00
7.1	12.0	3.17	0.48	9.80	1.00
5.6	13.0	3.72	0.58	11.40	1.00
5.6	13.0	3.72	0.58	11.40	1.00
6.2	11.0	3.61	0.54	11.40	1.00
8.3	20.0	3.38	0.77	12.70	2.00
6.2	24.0	3.45	0.87	11.20	2.00
5.6	59.0	3.58	0.52	9.90	1.00
9.0	46.0	3.20	0.60	12.20	2.00
8.5	19.0	3.14	0.71	11.80	2.00
6.3	24.0	3.59	0.55	11.20	1.00
6.8	24.0	3.40	0.82	11.20	2.00
6.9	22.0	3.40	0.84	11.20	2.00
6.8	24.0	3.40	0.82	11.20	2.00
6.8	24.0	3.41	0.83	11.30	2.00
6.9	38.0	3.32	0.58	11.40	2.00
7.2	41.0	3.52	0.80	12.40	2.00
5.8	94.0	3.54	0.52	10.00	1.00
7.8	36.0	3.24	0.53	11.20	2.00
5.9	11.0	3.48	0.85	11.70	2.00
6.6	18.0	3.42	0.69	11.30	2.00
8.3	43.0	3.31	0.77	12.50	2.00
8.3	43.0	3.31	0.77	12.50	2.00
5.2	28.0	3.78	0.61	12.50	2.00
6.0	26.0	3.36	0.45	9.50	1.00
6.0	26.0	3.36	0.45	9.50	1.00
6.0	26.0	3.36	0.45	9.50	1.00
6.2	11.0	3.44	0.76	10.80	2.00
10.0	74.0	2.98	0.63	11.80	2.00
8.0	7.0	3.22	0.58	11.20	2.00
8.5	51.0	3.38	0.72	11.80	2.00
7.7	9.0	3.16	0.54	9.80	2.00
7.7	9.0	3.16	0.54	9.80	2.00
7.9	15.0	3.32	0.80	11.90	2.00
10.2	9.0	3.20	0.69	12.10	2.00
6.4	28.0	3.42	0.70	10.00	2.00
7.3	21.0	3.39	0.47	10.00	2.00
8.2	31.0	3.11	0.46	10.00	1.00
6.2	42.0	3.57	0.57	11.70	2.00
6.2	42.0	3.57	0.57	11.70	2.00
8.0	50.0	3.38	0.60	11.90	2.00
6.9	7.0	3.44	0.58	11.40	1.00
9.1	16.0	3.21	0.69	12.50	2.00
6.1	32.0	3.36	0.44	10.10	1.00
6.1	28.0	3.36	0.44	10.10	1.00
6.5	17.0	3.50	0.63	10.90	2.00
6.0	50.0	3.58	0.67	12.50	2.00
8.7	19.0	3.30	0.73	12.00	2.00
7.2	28.0	3.23	0.73	11.30	2.00
7.2	28.0	3.23	0.73	11.30	2.00
9.8	7.0	3.19	0.55	11.40	2.00
7.7	58.0	3.37	0.78	11.80	2.00
7.4	26.0	3.36	0.60	11.90	2.00
8.8	18.0	3.32	0.79	14.00	2.00
6.8	29.0	3.32	0.51	9.80	1.00
10.3	8.0	3.16	0.51	11.80	2.00
5.4	55.0	3.78	0.64	12.30	2.00
6.7	38.0	3.30	0.56	10.75	2.00
7.2	29.0	3.23	0.76	11.30	2.00
6.1	13.0	3.52	0.56	11.40	1.00
8.2	12.0	3.30	0.76	12.80	2.00
7.5	20.0	3.26	0.64	11.80	2.00
7.0	36.0	3.39	0.56	10.90	1.00
7.6	9.0	3.50	0.40	10.90	1.00
7.5	14.0	3.21	1.03	11.60	2.00
9.0	50.0	3.20	0.83	10.90	2.00
9.8	11.0	3.19	0.46	11.40	1.00
7.0	16.0	3.43	0.59	11.50	2.00
6.7	34.0	3.39	0.60	10.60	2.00
6.7	34.0	3.39	0.60	10.60	2.00
6.7	34.0	3.39	0.60	10.60	2.00
6.7	34.0	3.39	0.60	10.60	2.00
6.7	148.0	3.16	0.57	11.30	2.00
6.9	31.0	3.51	0.43	11.40	1.00
6.1	9.0	3.59	0.54	11.50	2.00
9.8	9.0	3.14	0.57	11.50	2.00
8.9	16.0	3.35	0.70	12.50	2.00
5.8	28.0	3.55	0.66	10.90	2.00
5.4	31.0	3.50	0.64	10.20	2.00
6.7	34.0	3.29	0.80	11.60	2.00
9.9	17.0	3.19	0.52	12.50	2.00
8.9	28.0	3.27	0.75	12.60	2.00
6.3	33.0	3.60	0.46	11.20	2.00
8.8	29.0	3.26	0.56	11.30	2.00
7.1	14.0	3.42	0.55	11.50	2.00
6.5	20.0	3.45	0.56	11.80	1.00
6.5	44.0	3.38	0.83	10.30	2.00
6.5	44.0	3.38	0.83	10.30	2.00
6.7	42.0	3.39	0.82	10.90	2.00
6.2	44.0	3.45	0.58	10.50	1.00
7.7	38.0	3.29	0.47	10.80	2.00
6.9	36.0	3.41	0.75	11.10	2.00
6.4	48.0	3.49	0.49	11.40	2.00
6.8	64.0	3.43	0.56	11.20	2.00
7.0	28.0	3.35	0.81	10.60	2.00
7.5	60.0	3.34	0.85	11.40	2.00
7.5	60.0	3.10	0.40	9.30	1.00
7.5	44.0	3.10	0.43	9.30	1.00
6.7	52.0	3.34	0.71	11.20	2.00
7.2	48.0	3.30	0.84	11.50	2.00
9.1	55.0	3.18	0.82	11.00	2.00
7.5	12.0	3.44	0.72	11.50	2.00
6.0	17.0	3.52	0.78	10.60	1.00
5.6	13.0	3.66	0.62	10.10	1.00
6.8	15.0	3.35	0.62	10.40	2.00
6.8	15.0	3.35	0.62	10.40	2.00
9.3	37.0	3.18	0.89	11.10	2.00
8.3	24.0	3.27	0.64	12.10	2.00
7.5	60.0	3.10	0.42	9.20	1.00
7.8	19.0	3.16	0.46	9.80	1.00
7.8	19.0	3.16	0.46	9.80	1.00
7.5	99.0	3.35	0.54	10.10	1.00
7.5	99.0	3.35	0.54	10.10	1.00
6.0	54.0	3.54	0.93	10.70	2.00
6.0	54.0	3.54	0.93	10.70	2.00
7.2	31.0	3.46	0.53	11.80	2.00
8.1	53.0	3.27	1.01	12.40	2.00
6.4	58.0	3.61	0.49	12.70	2.00
8.9	27.0	3.32	0.90	13.40	2.00
8.0	68.0	3.36	0.66	11.20	1.00
7.4	48.0	3.12	0.48	10.00	1.00
7.6	14.0	3.32	0.62	11.50	2.00
8.4	46.0	3.38	0.89	11.80	2.00
8.4	46.0	3.38	0.89	11.80	2.00
8.2	9.0	3.27	0.55	12.30	2.00
7.5	15.0	3.26	0.53	9.60	1.00
6.9	16.0	3.45	0.63	11.50	2.00
6.9	16.0	3.45	0.63	11.50	2.00
9.6	25.0	3.36	0.76	12.40	2.00
7.0	50.0	3.08	0.60	9.30	1.00
7.1	24.0	3.29	0.66	10.80	2.00
7.7	77.0	3.15	0.79	10.90	2.00
7.5	8.0	3.40	0.64	11.00	2.00
5.9	51.0	3.52	0.76	11.20	2.00
8.6	6.0	3.27	0.67	11.90	2.00
7.0	24.0	3.44	0.68	10.55	2.00
7.1	37.0	3.40	0.61	10.90	2.00
7.1	37.0	3.40	0.61	10.90	2.00
7.3	15.0	3.35	0.58	11.00	2.00
6.4	25.0	3.44	0.65	11.10	2.00
8.6	28.0	3.18	0.80	11.20	1.00
8.6	28.0	3.18	0.80	11.20	1.00
9.1	27.0	3.26	0.84	11.70	2.00
9.1	27.0	3.26	0.84	11.70	2.00
9.1	25.0	3.26	0.84	11.70	2.00
8.6	12.0	3.35	0.69	11.70	2.00
7.1	14.0	3.40	0.58	10.90	1.00
6.9	41.0	3.41	0.52	10.80	1.00
8.5	38.0	3.16	0.85	11.10	2.00
8.5	38.0	3.16	0.85	11.10	2.00
6.4	36.0	3.47	0.71	11.30	2.00
6.6	26.0	3.40	0.58	9.80	2.00
8.7	48.0	3.20	0.58	9.80	1.00
7.0	67.0	3.50	0.63	11.10	1.00
7.7	34.0	3.28	0.90	11.30	2.00
6.5	91.0	3.44	0.55	12.10	2.00
7.3	37.0	3.35	0.77	12.10	2.00
6.6	48.0	3.52	0.56	12.30	2.00
6.6	48.0	3.52	0.56	12.30	2.00
9.2	25.0	3.34	0.79	13.30	2.00
7.6	12.0	3.36	0.59	11.00	1.00
6.0	47.0	3.39	0.78	10.00	2.00
6.9	46.0	3.53	0.57	10.60	1.00
7.1	44.0	3.42	0.68	10.80	2.00
6.9	39.0	3.34	0.53	10.80	2.00
9.1	24.0	3.27	0.85	11.70	2.00
6.7	111.0	3.10	0.53	9.70	1.00
6.8	29.0	3.41	0.52	11.10	1.00
8.5	15.0	3.30	0.74	11.80	2.00
8.5	88.0	3.33	0.76	11.80	2.00
6.8	10.0	3.42	0.60	9.50	1.00
7.8	47.0	3.51	0.43	10.70	2.00
9.3	42.0	3.24	0.81	10.80	2.00
7.8	21.0	3.39	0.66	11.60	2.00
6.1	45.0	3.60	0.68	10.30	2.00
7.4	61.0	3.43	0.59	10.80	2.00
8.2	48.0	3.32	0.88	12.40	2.00
6.8	64.0	3.12	0.49	9.60	1.00
6.8	44.0	3.47	0.55	10.40	2.00
6.8	61.0	3.34	0.60	10.40	1.00
5.2	74.0	3.71	0.62	12.20	2.00
8.7	42.0	3.24	0.77	12.60	2.00
6.5	28.0	3.36	0.64	10.10	2.00
10.1	26.0	3.17	0.53	12.50	2.00
8.0	41.0	3.34	0.47	10.50	1.00
7.6	35.0	3.48	0.65	11.40	2.00
6.8	25.0	3.38	0.45	9.60	1.00
7.2	44.0	3.40	0.85	11.00	2.00
7.2	44.0	3.40	0.85	11.00	2.00
7.2	44.0	3.40	0.85	11.00	2.00
7.2	44.0	3.40	0.85	11.00	2.00
9.9	8.0	3.15	0.73	11.40	2.00
8.2	10.0	3.31	0.68	11.20	2.00
8.4	26.0	3.22	0.78	12.00	2.00
7.5	31.0	3.36	0.54	10.50	2.00
7.5	31.0	3.36	0.54	10.50	2.00
7.5	31.0	3.36	0.54	10.50	2.00
7.5	31.0	3.36	0.54	10.50	2.00
6.7	119.0	3.36	0.70	10.90	1.00
6.7	119.0	3.36	0.70	10.90	1.00
6.8	33.0	3.44	0.63	11.30	2.00
6.8	33.0	3.44	0.63	11.30	2.00
7.6	14.0	3.51	0.71	11.70	2.00
6.2	26.0	3.57	0.63	12.00	1.00
7.6	11.0	3.44	0.54	12.20	2.00
5.6	96.0	3.32	0.58	9.20	1.00
6.3	20.0	3.34	0.58	9.40	1.00
8.7	33.0	3.27	0.55	9.70	1.00
6.8	20.0	3.42	0.67	11.30	2.00
6.5	59.0	3.61	0.70	11.50	2.00
8.1	12.0	3.35	0.61	10.70	1.00
8.8	72.0	3.39	0.72	11.80	2.00
8.8	72.0	3.39	0.72	11.80	2.00
6.6	63.0	3.59	0.68	11.40	2.00
6.8	49.0	3.36	0.79	9.50	1.00
6.8	31.0	3.36	0.58	10.40	2.00
10.8	27.0	3.28	0.73	11.90	2.00
7.2	20.0	3.29	0.54	10.10	1.00
7.2	20.0	3.29	0.54	10.10	1.00
7.2	20.0	3.29	0.54	10.10	1.00
7.2	20.0	3.29	0.54	10.10	1.00
6.8	23.0	3.38	0.60	10.30	1.00
8.8	27.0	3.15	0.69	11.20	2.00
7.9	19.0	3.35	0.60	11.40	2.00
6.9	26.0	3.38	0.64	9.80	2.00
5.9	44.0	3.57	0.71	10.20	1.00
6.0	42.0	3.39	0.66	11.00	2.00
8.9	24.0	3.23	0.70	12.00	2.00
7.6	68.0	3.12	0.44	9.20	1.00
6.3	23.0	3.34	0.56	9.30	1.00
6.5	38.0	3.34	0.52	9.30	1.00
6.6	14.0	3.39	0.64	9.40	2.00
6.1	19.0	3.42	0.57	9.40	1.00
6.1	25.0	3.42	0.74	10.10	2.00
7.6	73.0	3.17	0.63	10.20	2.00
7.1	43.0	3.42	0.58	10.70	2.00
7.1	43.0	3.42	0.58	10.70	2.00
7.7	60.0	3.36	0.44	10.90	1.00
7.7	60.0	3.36	0.44	10.90	1.00
8.4	19.0	3.17	0.81	11.20	2.00
6.6	34.0	3.58	0.89	12.30	2.00
6.7	32.0	3.55	0.61	12.80	2.00
8.8	21.0	3.21	0.75	10.20	2.00
6.5	12.0	3.56	0.51	10.80	1.00
6.4	12.0	3.56	0.51	10.80	1.00
6.7	34.0	3.33	0.64	9.70	1.00
9.1	10.0	3.23	0.58	11.10	2.00
8.9	21.0	3.41	0.76	11.90	2.00
8.9	21.0	3.41	0.76	11.90	2.00
8.9	21.0	3.41	0.76	11.90	2.00
6.8	38.0	3.30	0.65	9.60	2.00
8.9	10.0	3.12	0.48	9.10	2.00
6.5	47.0	3.36	0.48	9.40	2.00
8.3	48.0	3.34	0.86	11.00	2.00
6.2	14.0	3.51	0.69	11.00	2.00
7.0	69.0	3.40	0.53	10.10	2.00
9.7	21.0	3.14	0.51	10.90	2.00
7.5	35.0	3.36	0.62	10.80	2.00
7.5	35.0	3.36	0.62	10.80	2.00
6.5	13.0	3.62	0.62	11.50	1.00
6.6	77.5	3.20	0.45	9.50	1.00
6.6	77.5	3.20	0.45	9.50	1.00
7.0	65.0	3.40	0.54	10.10	2.00
7.3	42.0	3.37	0.48	9.00	1.00
6.6	15.0	3.40	0.63	9.40	2.00
7.7	133.0	3.27	0.45	9.90	1.00
7.0	19.0	3.40	0.47	10.00	1.00
6.8	101.0	3.34	0.52	10.20	1.00
7.1	54.0	3.37	0.64	10.40	2.00
7.1	54.0	3.37	0.64	10.40	2.00
7.4	47.0	3.37	0.62	10.40	1.00
7.0	124.0	3.44	0.48	10.50	1.00
7.2	24.0	3.42	0.72	11.10	2.00
8.0	15.0	3.30	0.64	11.40	2.00
7.0	55.0	3.39	0.84	11.40	2.00
6.3	39.0	3.56	0.52	12.70	2.00
10.3	33.0	3.22	0.66	12.80	2.00
7.3	14.0	3.30	0.47	10.50	1.00
6.8	14.0	3.51	0.66	10.80	2.00
7.4	11.0	3.45	0.58	11.30	2.00
8.9	39.0	3.40	0.69	11.80	1.00
7.2	36.0	3.38	0.60	10.30	2.00
7.2	36.0	3.38	0.60	10.30	2.00
7.0	67.0	3.35	0.60	9.40	1.00
7.7	109.0	3.08	0.49	9.80	2.00
10.2	17.0	3.22	0.63	11.80	2.00
7.3	92.0	3.32	0.68	10.30	2.00
10.2	20.0	3.14	0.79	11.10	2.00
7.3	92.0	3.32	0.68	11.10	2.00
8.5	10.0	3.28	0.56	12.00	1.00
7.2	28.0	3.35	0.52	10.00	1.00
7.7	18.0	3.32	0.56	10.50	2.00
7.7	18.0	3.32	0.56	10.50	2.00
9.0	10.0	3.31	0.62	11.30	2.00
7.9	13.0	3.43	0.58	9.50	1.00
5.2	50.0	3.38	0.55	9.20	1.00
6.6	53.0	3.32	0.62	9.30	1.00
7.4	72.0	3.15	0.57	9.40	1.00
7.5	44.0	3.39	0.54	9.70	1.00
8.9	19.0	3.17	0.55	10.40	2.00
7.6	23.0	3.30	0.58	11.20	1.00
6.8	61.0	3.29	0.60	9.30	1.00
6.7	54.0	3.42	1.16	10.60	2.00
11.1	10.0	3.02	0.83	10.90	2.00
11.1	10.0	3.02	0.83	10.90	2.00
6.5	47.0	3.58	0.50	11.20	1.00
7.0	21.0	3.38	0.60	11.30	2.00
7.0	21.0	3.38	0.60	11.30	2.00
7.0	21.0	3.38	0.60	11.30	2.00
6.0	113.0	3.30	0.56	11.50	1.00
7.2	22.0	3.21	0.68	9.90	2.00
6.3	40.0	3.42	0.75	11.00	2.00
6.3	40.0	3.42	0.75	11.00	2.00
8.0	35.0	3.34	0.57	10.00	1.00
7.0	26.0	3.36	0.61	10.20	1.00
7.3	45.0	3.24	0.50	9.80	1.00
9.2	21.0	3.15	0.49	9.90	1.00
7.3	48.0	3.43	0.54	10.00	1.00
7.2	52.0	3.44	0.58	10.10	1.00
9.1	15.0	3.30	0.80	11.20	2.00
6.8	39.0	3.53	0.54	11.10	1.00
10.7	56.0	3.15	0.79	12.10	2.00
9.3	11.0	3.23	0.57	13.20	2.00
10.0	24.0	2.88	0.47	9.70	1.00
6.2	98.0	3.33	0.62	9.80	1.00
7.6	43.0	3.44	0.64	10.90	2.00
6.4	12.0	3.34	0.56	9.20	1.00
6.2	15.0	3.41	0.56	9.20	1.00
6.9	49.0	3.35	0.78	9.50	1.00
6.8	25.0	3.33	0.56	9.50	2.00
6.8	53.0	3.41	0.67	9.70	1.00
6.8	53.0	3.41	0.67	9.70	1.00
7.6	74.0	3.26	0.54	9.90	2.00
6.7	82.0	3.35	0.54	10.10	1.00
6.7	80.0	3.38	0.52	10.10	1.00
8.0	62.0	3.26	0.56	10.20	2.00
7.3	11.0	3.33	0.53	10.30	2.00
8.4	44.0	3.13	0.52	11.00	1.00
7.5	12.0	3.54	0.60	11.20	1.00
11.9	24.0	3.00	0.65	12.80	2.00
8.4	25.0	3.09	0.43	9.70	2.00
6.6	13.0	3.53	0.58	10.80	2.00
7.3	104.0	3.28	0.52	9.90	1.00
7.0	9.0	3.35	0.54	10.50	1.00
6.9	23.0	3.39	0.43	9.05	1.00
10.0	11.0	3.23	0.52	12.00	2.00
9.7	19.0	3.30	0.86	12.40	2.00
7.2	100.0	3.26	0.52	9.90	1.00
7.2	16.0	3.43	0.46	10.00	1.00
7.2	68.0	3.37	0.54	10.10	2.00
6.3	54.0	3.51	0.66	11.30	2.00
8.9	10.0	3.21	0.59	12.10	2.00
8.9	10.0	3.21	0.59	12.10	2.00
7.2	12.0	3.34	0.39	9.50	1.00
7.2	12.0	3.34	0.39	9.50	1.00
7.0	64.0	3.22	0.59	9.50	2.00
7.3	70.0	3.43	0.62	10.10	1.00
6.4	17.0	3.53	0.65	10.40	2.00
8.0	29.0	3.30	0.78	10.80	2.00
7.6	31.0	3.37	0.51	10.40	2.00
6.7	65.0	3.28	0.54	9.20	1.00
7.0	89.0	3.34	0.54	9.20	2.00
7.4	72.0	3.05	0.63	9.20	1.00
7.7	86.0	3.23	0.59	9.50	1.00
7.6	20.0	3.20	0.56	9.60	1.00
7.0	35.0	3.36	0.59	9.70	2.00
7.9	29.0	3.22	0.55	9.90	2.00
6.9	45.0	3.26	0.58	10.00	1.00
8.2	65.0	3.30	0.43	10.10	1.00
6.9	30.0	3.42	0.58	10.20	2.00
6.3	61.0	3.44	0.78	10.30	2.00
7.8	22.0	3.31	0.56	10.40	2.00
9.9	42.0	3.18	0.83	10.60	2.00
7.5	46.0	3.02	0.47	9.20	1.00
7.1	18.0	3.27	0.62	9.30	1.00
7.5	27.0	3.30	0.59	10.40	2.00
6.8	11.0	3.53	0.64	10.90	1.00
7.1	84.0	3.19	0.50	9.50	1.00
8.3	14.0	3.25	0.64	10.00	2.00
8.2	47.0	3.40	0.78	11.30	2.00
7.7	27.0	3.16	0.49	9.40	1.00
7.7	27.0	3.16	0.49	9.40	1.00
10.5	27.0	3.06	0.84	11.40	2.00
6.7	57.0	3.60	0.74	11.70	2.00
8.2	47.0	3.27	0.81	11.00	2.00
8.2	47.0	3.27	0.81	11.00	2.00
7.0	63.0	3.28	0.61	9.20	1.00
7.2	36.0	3.33	0.48	9.40	1.00
7.9	105.0	3.27	0.54	9.40	2.00
7.8	102.0	3.39	0.48	9.50	1.00
7.4	21.0	3.39	0.54	9.50	1.00
7.8	21.0	3.28	0.87	9.80	2.00
6.7	12.0	3.55	0.63	9.95	1.00
7.2	13.0	3.23	1.10	10.00	2.00
7.0	8.0	3.41	0.47	10.30	1.00
8.2	24.0	3.24	0.69	10.60	2.00
7.9	67.0	3.33	0.93	11.30	1.00
10.4	19.0	3.10	0.87	11.40	2.00
7.8	35.0	3.34	0.61	11.60	2.00
8.2	45.0	3.25	0.54	10.30	1.00
8.4	20.0	3.39	0.60	10.50	1.00
7.7	32.0	3.23	0.48	10.00	1.00
8.6	77.0	3.47	0.87	11.00	2.00
9.0	10.0	3.13	0.58	11.90	2.00
8.5	12.0	3.52	0.63	10.70	1.00
7.5	12.0	3.36	0.55	11.40	2.00
7.5	12.0	3.36	0.55	11.40	2.00
7.0	22.0	3.34	0.60	9.70	1.00
7.0	25.0	3.37	0.55	9.70	1.00
7.2	11.0	3.39	0.52	10.00	1.00
7.1	52.0	3.42	0.60	10.20	2.00
7.2	28.0	3.29	0.51	9.90	2.00
7.0	39.0	3.34	0.55	9.20	1.00
7.7	94.0	3.31	0.48	9.50	1.00
7.8	96.0	3.19	0.62	9.50	1.00
7.3	35.0	3.33	0.47	9.50	1.00
7.3	35.0	3.33	0.47	9.50	1.00
7.4	23.0	3.30	0.58	9.60	1.00
7.4	23.0	3.30	0.58	9.60	1.00
6.9	40.0	3.41	0.59	10.10	1.00
6.9	18.0	3.40	0.59	10.30	2.00
7.4	42.0	3.42	0.57	11.50	2.00
7.5	88.0	3.30	0.53	9.80	1.00
7.5	88.0	3.30	0.53	9.80	1.00
8.0	59.0	3.30	0.48	10.20	1.00
6.9	48.0	3.40	0.60	10.30	2.00
7.6	45.0	3.31	0.62	10.70	2.00
8.0	33.0	3.37	0.58	11.00	1.00
8.0	105.0	3.30	0.49	9.90	1.00
8.0	105.0	3.30	0.49	9.90	1.00
8.2	28.0	3.25	0.53	10.20	2.00
9.5	51.0	3.29	0.58	11.10	2.00
10.2	36.0	3.23	0.49	9.30	1.00
8.8	16.0	3.31	0.79	11.80	2.00
7.0	37.0	3.34	0.56	9.20	2.00
7.7	39.0	3.35	0.48	9.80	2.00
7.7	63.0	3.37	0.58	10.50	2.00
7.7	63.0	3.37	0.58	10.50	2.00
9.2	31.0	3.33	0.86	12.00	2.00
8.8	19.0	3.30	0.44	9.60	1.00
8.3	38.0	3.15	0.53	9.80	1.00
8.3	38.0	3.15	0.53	9.80	1.00
7.5	91.0	3.26	0.58	9.80	2.00
7.5	91.0	3.26	0.58	9.80	2.00
7.4	91.0	3.29	0.56	9.80	2.00
7.4	91.0	3.29	0.56	9.80	2.00
8.7	59.0	3.33	0.77	12.00	2.00
7.9	22.0	3.33	0.68	10.90	2.00
7.3	89.0	3.30	0.57	9.00	1.00
7.3	46.0	3.41	0.54	9.40	2.00
